mean_reward,convergence_episode,last_mean_reward,evals
204.9788732394366,106.0,257.59,201
200.7278911564626,118.0,260.4,201
115.42460317460318,,176.39,201
169.96531791907515,150.0,229.26,201
163.87777777777777,129.0,187.4,201
157.85026737967914,182.0,205.55,201
162.6685082872928,121.0,162.93,201
141.95192307692307,186.0,185.33,201
177.35757575757575,146.0,234.27,201
217.4962962962963,99.0,275.83,201
198.89864864864865,108.0,224.41,201
127.43722943722943,,163.47,201
187.25477707006368,112.0,222.62,201
164.180790960452,139.0,218.73,201
126.53017241379311,,113.2,201
176.9151515151515,124.0,267.17,201
185.70253164556962,117.0,217.35,201
167.57714285714286,153.0,208.21,201
190.3202614379085,127.0,240.07,201
184.9433962264151,126.0,203.76,201
136.38425925925927,163.0,148.99,201
169.52298850574712,127.0,229.73,201
129.39473684210526,,138.47,201
139.97619047619048,,133.7,201
157.41711229946523,165.0,222.4,201
