mean_reward,convergence_episode,last_mean_reward,evals
193.25,131.0,278.72,180
195.80263157894737,123.0,276.11,180
126.8,,126.28,180
189.0448717948718,123.0,276.53,180
188.9299363057325,132.0,280.86,180
178.7560975609756,130.0,268.35,180
194.3708609271523,126.0,278.51,180
164.12777777777777,162.0,246.45,180
149.58793969849245,180.0,217.25,180
153.30927835051546,149.0,223.04,180
181.80864197530863,142.0,278.69,180
154.49214659685865,159.0,231.23,180
186.86075949367088,138.0,277.65,180
170.7816091954023,147.0,250.97,180
152.71502590673575,153.0,224.78,180
169.01149425287358,139.0,259.5,180
176.77710843373495,144.0,273.63,180
152.840206185567,168.0,220.17,180
128.1,205.0,230.78,180
199.50340136054422,123.0,282.49,180
137.6064814814815,,191.59,180
197.5,121.0,278.8,180
174.58928571428572,146.0,276.79,180
160.4,153.0,246.41,180
189.01910828025478,138.0,270.49,180
