mean_reward,convergence_episode,last_mean_reward,evals
218.77941176470588,99.0,285.62,190
216.90510948905109,99.0,286.73,190
178.0722891566265,119.0,221.76,190
191.7058823529412,122.0,269.62,190
191.09032258064516,130.0,276.07,190
171.0287356321839,125.0,251.61,190
225.3969465648855,109.0,286.16,190
150.08080808080808,116.0,148.22,190
284.1730769230769,99.0,294.49,190
220.22222222222223,115.0,287.53,190
244.0,99.0,290.36,190
231.40625,99.0,288.01,190
235.46031746031747,99.0,289.46,190
186.98742138364778,117.0,257.57,190
284.4326923076923,99.0,294.68,190
166.72316384180792,130.0,232.98,190
146.69651741293532,199.0,198.94,190
214.7246376811594,113.0,283.36,190
144.84878048780487,,152.62,190
176.67469879518072,134.0,253.11,190
202.33333333333334,123.0,272.88,190
244.7520661157025,99.0,291.26,190
226.83846153846153,106.0,287.12,190
238.86290322580646,99.0,290.29,190
162.14285714285714,171.0,211.9,190
